state,year,quarter,category,transaction_count,transaction_amount,log_transaction_amount
Andaman & Nicobar Islands,2018,1,Recharge & bill payments,4200,1845307.4673655091,14.428157012465926
Andaman & Nicobar Islands,2018,1,Peer-to-peer payments,1871,12138655.299749982,16.311905653758856
Andaman & Nicobar Islands,2018,1,Merchant payments,298,452507.168646613,13.022561094216886
Andaman & Nicobar Islands,2018,1,Financial Services,33,10601.419933464953,9.268837549654583
Andaman & Nicobar Islands,2018,1,Others,256,184689.8662902223,12.12643871336858
Andaman & Nicobar Islands,2018,2,Recharge & bill payments,6735,2320944.731074479,14.657485303283295
Andaman & Nicobar Islands,2018,2,Peer-to-peer payments,3575,24511925.231047668,17.014670342014323
Andaman & Nicobar Islands,2018,2,Merchant payments,603,1024491.0133579008,13.839707450981999
Andaman & Nicobar Islands,2018,2,Financial Services,59,121336.0270987509,11.706327300608958
Andaman & Nicobar Islands,2018,2,Others,368,359838.50537474576,12.793413392622238
Andaman & Nicobar Islands,2018,3,Recharge & bill payments,8636,4343504.868377829,15.284192383752416
Andaman & Nicobar Islands,2018,3,Peer-to-peer payments,6448,49270781.541635044,17.712841817114438
Andaman & Nicobar Islands,2018,3,Merchant payments,945,1627359.8394868043,14.30247014371737
Andaman & Nicobar Islands,2018,3,Financial Services,42,1481.4907042806485,7.301478860552491
Andaman & Nicobar Islands,2018,3,Others,194,314343.39410715323,12.658244460368124
Andaman & Nicobar Islands,2018,4,Recharge & bill payments,11517,5450549.512294375,15.511227172968276
Andaman & Nicobar Islands,2018,4,Peer-to-peer payments,10451,81001456.97825177,18.20997771220622
Andaman & Nicobar Islands,2018,4,Merchant payments,1421,3552027.735492656,15.08302947300873
Andaman & Nicobar Islands,2018,4,Financial Services,29,76035.7877393286,11.238972551356136
Andaman & Nicobar Islands,2018,4,Others,340,468266.0606770435,13.056794054617598
Andaman & Nicobar Islands,2019,1,Recharge & bill payments,15263,6611459.8729725825,15.704315196935728
Andaman & Nicobar Islands,2019,1,Peer-to-peer payments,13119,91808345.86839552,18.335213775949665
Andaman & Nicobar Islands,2019,1,Merchant payments,1759,3266589.8469614363,14.999257444589485
Andaman & Nicobar Islands,2019,1,Financial Services,62,116250.43671861099,11.663510682243004
Andaman & Nicobar Islands,2019,1,Others,283,497094.6484417205,13.116537738155333
Andaman & Nicobar Islands,2019,2,Recharge & bill payments,14676,7242448.256212333,15.79547000220998
Andaman & Nicobar Islands,2019,2,Peer-to-peer payments,14481,107525358.66652842,18.49323728158573
Andaman & Nicobar Islands,2019,2,Merchant payments,4031,4702152.616619372,15.36353117803325
Andaman & Nicobar Islands,2019,2,Financial Services,124,113278.91371326067,11.637617147215222
Andaman & Nicobar Islands,2019,2,Others,377,671471.222589792,13.417227927879537
Andaman & Nicobar Islands,2019,3,Recharge & bill payments,16219,8171737.705916681,15.916192260095768
Andaman & Nicobar Islands,2019,3,Peer-to-peer payments,13767,101079821.10344616,18.43142108052473
Andaman & Nicobar Islands,2019,3,Merchant payments,3519,4428734.574846684,15.303624677995167
Andaman & Nicobar Islands,2019,3,Financial Services,50,158857.94315586874,11.975771937488856
Andaman & Nicobar Islands,2019,3,Others,215,232624.75992853564,12.357186260692728
Andaman & Nicobar Islands,2019,4,Peer-to-peer payments,18128,121493224.30754511,18.61536906040466
Andaman & Nicobar Islands,2019,4,Recharge & bill payments,13851,9538690.916424634,16.070866918344496
Andaman & Nicobar Islands,2019,4,Merchant payments,2920,5247500.487902376,15.473262614221882
Andaman & Nicobar Islands,2019,4,Financial Services,60,295937.2110898865,12.597905965197702
Andaman & Nicobar Islands,2019,4,Others,200,263177.5944158883,12.480588146918869
Andaman & Nicobar Islands,2020,1,Peer-to-peer payments,18324,142332401.79234773,18.773675744744736
Andaman & Nicobar Islands,2020,1,Recharge & bill payments,18268,10850414.023977457,16.19971388827702
Andaman & Nicobar Islands,2020,1,Merchant payments,4424,7752871.558217709,15.863573985328049
Andaman & Nicobar Islands,2020,1,Financial Services,66,208231.73071652642,12.246411630859596
Andaman & Nicobar Islands,2020,1,Others,216,332393.19201521645,12.714076868932368
Andaman & Nicobar Islands,2020,2,Recharge & bill payments,38125,17659622.73418829,16.686791446808257
Andaman & Nicobar Islands,2020,2,Peer-to-peer payments,20303,141728757.73517442,18.7694256391507
Andaman & Nicobar Islands,2020,2,Merchant payments,4004,9236375.740471343,16.038660239061098
Andaman & Nicobar Islands,2020,2,Financial Services,175,706932.1397115812,13.468691371399114
Andaman & Nicobar Islands,2020,2,Others,355,313313.0646014327,12.654961367734249
Andaman & Nicobar Islands,2020,3,Recharge & bill payments,59310,24756220.875469353,17.02458740429393
Andaman & Nicobar Islands,2020,3,Peer-to-peer payments,40697,289078946.7312394,19.48221038431168
Andaman & Nicobar Islands,2020,3,Merchant payments,16096,22682992.238478824,16.937126005120867
Andaman & Nicobar Islands,2020,3,Financial Services,572,961836.7129860274,13.776601017897095
Andaman & Nicobar Islands,2020,3,Others,808,539449.7721868362,13.198306812412026
Andaman & Nicobar Islands,2020,4,Peer-to-peer payments,81439,533316526.1814983,20.09462566549285
Andaman & Nicobar Islands,2020,4,Recharge & bill payments,80811,33710030.534383245,17.333306022670595
Andaman & Nicobar Islands,2020,4,Merchant payments,59391,56867468.940003954,17.856234029810906
Andaman & Nicobar Islands,2020,4,Financial Services,965,1880546.9672370641,14.447073764271048
Andaman & Nicobar Islands,2020,4,Others,1925,1508083.6917299272,14.226350987597653
Andaman & Nicobar Islands,2021,1,Peer-to-peer payments,105458,665391395.715478,20.315885991972245
Andaman & Nicobar Islands,2021,1,Recharge & bill payments,84119,37160922.86506996,17.430768333416523
Andaman & Nicobar Islands,2021,1,Merchant payments,53090,78606979.05751458,18.179971058259508
Andaman & Nicobar Islands,2021,1,Financial Services,884,1469351.0852598653,14.200332103265794
Andaman & Nicobar Islands,2021,1,Others,1201,1077918.666433228,13.89054350674033
Andaman & Nicobar Islands,2021,2,Peer-to-peer payments,132772,748382044.7707307,20.433424161925092
Andaman & Nicobar Islands,2021,2,Recharge & bill payments,120911,43691961.26275121,17.592674713234477
Andaman & Nicobar Islands,2021,2,Merchant payments,85143,103707408.50908463,18.457084122036665
Andaman & Nicobar Islands,2021,2,Financial Services,960,2038521.5136710338,14.52773584541447
Andaman & Nicobar Islands,2021,2,Others,1628,1327080.0560584562,14.098492393633121
