state,district,year,quarter,transaction_count,transaction_amount,log_transaction_amount
Andaman & Nicobar Islands,north and middle andaman district,2018,1,442,931663.0770939873,13.744727596393805
Andaman & Nicobar Islands,south andaman district,2018,1,5688,12560249.34366581,16.34604765062622
Andaman & Nicobar Islands,nicobars district,2018,1,528,1139848.801225994,13.946407058379917
Andaman & Nicobar Islands,north and middle andaman district,2018,2,825,1317863.0834906558,14.09152286542706
Andaman & Nicobar Islands,south andaman district,2018,2,9395,23948235.51634325,16.99140524722478
Andaman & Nicobar Islands,nicobars district,2018,2,1120,3072436.9081196385,14.937981911306697
Andaman & Nicobar Islands,north and middle andaman district,2018,3,1283,4901529.518499676,15.405058065023747
Andaman & Nicobar Islands,south andaman district,2018,3,13511,44268112.46425246,17.6057751894848
Andaman & Nicobar Islands,nicobars district,2018,3,1471,6387829.151558982,15.669905199290884
Andaman & Nicobar Islands,north and middle andaman district,2018,4,2137,7955635.917688001,15.889391281626045
Andaman & Nicobar Islands,south andaman district,2018,4,20136,75411840.8018554,18.13847487372165
Andaman & Nicobar Islands,nicobars district,2018,4,1485,7180859.354911782,15.786929760435159
Andaman & Nicobar Islands,north and middle andaman district,2019,1,3264,9561708.736298349,16.073277111746165
Andaman & Nicobar Islands,south andaman district,2019,1,25683,85501972.38780196,18.264050014199725
Andaman & Nicobar Islands,nicobars district,2019,1,1539,7236059.549389593,15.794587493260764
Andaman & Nicobar Islands,north and middle andaman district,2019,2,3371,8612103.137888122,15.968679229577225
Andaman & Nicobar Islands,south andaman district,2019,2,28490,102530955.71341258,18.44567532766109
Andaman & Nicobar Islands,nicobars district,2019,2,1828,9111650.82436246,16.025064572707738
Andaman & Nicobar Islands,north and middle andaman district,2019,3,4049,11481466.283356793,16.256244752827513
Andaman & Nicobar Islands,south andaman district,2019,3,27421,91023888.32848613,18.326632550122007
Andaman & Nicobar Islands,nicobars district,2019,3,2300,11566421.475451011,16.263616844393646
Andaman & Nicobar Islands,north and middle andaman district,2019,4,4716,13524056.784573946,16.41998071554361
Andaman & Nicobar Islands,south andaman district,2019,4,27843,110930312.20611623,18.52441275316814
Andaman & Nicobar Islands,nicobars district,2019,4,2600,12384161.52668771,16.331928998650568
Andaman & Nicobar Islands,north and middle andaman district,2020,1,5674,14697371.617857102,16.503179302295123
